Constituent ID,Artist Display Name,Artist ULAN ID,Artist Wikidata ID
100792,Bufford's Print Publishing House,,
100793,Daziaro,,
100795,C. R. Brunnarius,,
100796,Géomontographie Bauerkeller,,
100797,James Lyne,,
100800,"L. Turgis, Le Jeune",,
100807,Bove,,
100808,A. Brown and Co.,,
100810,John McNevin,,
100811,John Joseph Holland,500014261,
100812,The Society of Iconophiles,,
100813,E. Riley,,
100814,J. T. Bentley,,
100815,Albert Rosenthal,500021856,Q19594595
100816,Max Rosenthal,500084267,Q6795193
100817,F. E. Parshley,500036727,
100818,The Graphic Company,,
100819,"Godard, Paris",,
100821,Arthur T. Lumly,,
100822,H. Metzner,,
100826,John Keyse Sherwin,500021802,Q6243041
100827,Sangallo family,500060101,
100828,Frederick George Austin,500183535,Q76281492
100841,Colorcraft,,
100844,Louis-Alexandre Bellangé,500017057,
100845,Jacques Louis de La Hamayde de Saint-Ange,,
100849,Feodor Ivanovich Kalmuk,500357459,Q641253
100851,Jan Toorop,500017535,Q369416
100854,Ginger Osgood,,
100855,Salzer Galleries,,
100856,Western Serigraph Institute,,
100857,Pietro Anderloni,,
100858,H. O. Fritsch,,
100859,Adolf Jossifowitsch Charlemagne,500130420,Q15061209
100867,Heinrich Keller,,
100872,Richard Estes,500007462,Q704965
100873,Michael Domberger,,
100875,Lilah Toland,,
100876,Henri Cantel,,
100880,George Richardson and Son,,
100914,Henry Treffry Dunn,500019229,Q5729291
100915,Johann Lucas von Hildebrandt,,
100916,Woldemar Friedrich,500432060,
100917,Matthias Deigle,,
100918,Cantius Dillis,500002161,Q32824146
100920,Peter Herwegen,,Q2075674
100923,Wilhelm Müller,,
100924,Thaddäus Kuntz,500001759,Q777159
100925,Johann Christoph Liska,500020037,Q1693046
100926,Christian Gottlob Hammer,500032098,Q1079993
100927,Franz Xaver Petter,500026147,Q1339893
100928,Pieter Cornelisz Kunst,500013898,Q2283466
100934,Waddington Graphics,,
100935,Heinrich Jauner,,
100937,Bernd,,
100939,J. Gruenwald,,
100940,"Anonymous, Islamic",,
100941,Birute Stancikaite,,
100943,Otto Seitz,500171266,Q836336
100944,Franz Ambros Dietel,,
100945,Aug. Strubeker,,
100949,J. Stiner,,
100952,Jean Nicolas Sobre,500105955,
100953,Covens et Mortier,,
100954,Aldert Meijer,500129573,
100955,Gaetano Galdi,,
100956,Trenton Doyle Hancock,500114639,Q7838564
100957,Henri Houssaye,,
100958,Joseph Guichard,,
100963,Auguste Poulet-Malassis,,
100965,Rombout Eynhoudts,500046239,Q21637608
100967,Alfred Fortuné Salmon,,Q96746907
100969,J. Stewart,,
100970,Larigne,,
100972,J. Kidder,,
100973,Francis Patton,,
100975,August Vogel,500104542,
100976,August Friedrich Spiess,,
100977,Edward Spragg,,
100978,Charles Meyer,,
100979,Haydon,,
100980,Hermann Schütz,,
100982,Benjamin Roth,,
100984,T. W. Rekay,,
100988,A. Beillet,,
100990,Matteo Rosselli,500016539,Q944534
100993,Nikita Tchelnakov,,
100994,Prokofy Artemev,,
100995,Filipp Vnukov,,
100997,Imprimerie Sarazin,,
100999,William Beattie Booth,,
101000,Henry Allen,,
101001,George W. H. Ritchie,,
101002,"Matthew Brettingham, the younger",,
101003,Christopher Cass,,
101004,John Thorpe,,
101005,Nicholas Hawksmoor,500012664,Q366674
101006,Abraham Goos,,
101007,Evert Symonsz. Hamersveldt,,
101024,Ahlsned,,
101025,Ann Lauterbach,,
101027,Leslie Marmon Silko,,
101028,Lee Marmon,500127090,Q5504461
101052,Hendrik Snyers,500326182,
101053,Lucas Vorsterman II,500023918,Q1095959
101054,Willem Hondius,500008042,Q1385474
101056,Jean-Roch Isnard,,
101058,Eugène Héros,,
101059,Octave Pradels,,
101063,Evariste Boulay-Paty,,
101064,Nicolaes Clock,,
101065,Cirrus Editions,,
101073,C. Schultz,,
101074,J. Meyer,,
101075,Louise Jacques Marie Bizeul,,
101077,Nicolas Le Sueur,500026264,Q52149278
101078,Georges Lullemand,,
101081,Colnaghi and Puckle and Ackermann & Co.,,
101082,Ludovico Caracciolo,500011882,
101085,John Knight,,
101086,John Hunter,,
101088,Charles Thévenin,500005990,Q979783
101089,Stefano Camogli,500059585,Q23641106
101104,S. Gerrish,,
101105,John Almon,,
101106,James Scott,500044385,Q52917942
101107,J. Blanchard,,
101108,Joseph Johnson,,
101109,J. Curtis,,
101110,Moravian Brethren (United Brethren),,
101111,I. Fell,,
101113,Joseph Gurney,,
101114,John Williams,,
101115,J. Godwin,,
101116,Elisha Gallaudet,,
101117,T. & J. Fleet,,
101118,John Goldar,500024630,Q16859313
101119,Andrew Raftery,,
101120,"Philip Dormer Stanhope, Earl of Chesterfield",,
101121,Ivan Kuvakin,,
101122,S. and J. Loudon,,
101123,C. Maverick,,
101125,D. Holt,,
101126,Grainger,,
101128,G. & T. Wilkie,,
101133,J. Hector St. John de Crèvecoeur,,
101143,Alexandre Théodore Brongniart,500032462,Q1342645
101151,"Anonymous, Swedish, 19th century",,
101152,Jacobus Pelgrom,500017788,Q22117548
101153,A. Damon & Co,,
101154,J. S.,,
101155,La Dépêche (The Dispatch),,
101156,Armand Guérard,,
101157,Anton Würth,500346344,
101158,Ernest Flagg,500015510,Q1356309
101161,Johann Wirz,500031768,Q55193427
101163,Herman Weyen,,
101164,de Lumague,,
101165,"Nicolas de Lumagne, abbé de Saint Pierre de Rille, near Fougères",,
101166,W. Edwin Law,,
101177,J. Hamble,500057002,
101178,J. Hayes,,
101180,Giovanni Fattori,500023835,Q710089
101182,Walter Goodall,500006864,Q7964977
101183,Henry Pigeon Clark,500024979,Q15994691
101184,William Telbin,500178072,Q51093615
101187,Robbie Conal,500345206,Q3434277
101188,Gajin Fujita,500121010,Q5517610
101190,Mark Licari,,
101191,Auguste-Thomas-Marie Blanchard,500042983,Q2871232
101192,Manuel de Moura,,
101193,British and Foreign Artists Association,,
101194,Paul McCarthy,500115653,Q221732
101195,Johan Baptist Stuntz,500075664,Q28120356
101196,Elizabeth Quale O'Neill Verner,500056989,Q5363279
101197,Franz Kaisermann,500009036,Q29377857
101198,Nicolas Didier Boguet,500005383,Q7029461
101199,William Vincent,,
101200,Jacob Huysman,500024595,Q2293923
101202,Michael C. McMillen,500020267,Q17612623
101205,Marshall Weber,500350863,
101206,F. Felsing,,
101207,Frank Richard Stockton,,
101208,T. Johnson,,
101209,J. H. E. Whitney,,
101210,William Baxter Palmer Closson,500001829,Q8006911
101211,G. Tietze,,
101212,Otto von Bismarck,,
101213,"John Henry, Cardinal Newman",,
101215,Silas Weir Mitchell,,
101216,Franz Liszt,,
101218,George William Curtis,,
101219,Florence Nightingale,,
101221,Major General Philip Henry Sheridan,,Q355452
101223,Giuseppe Verdi,,
101226,Walter Savage Landor,,
101228,Pope Leo XIII,,
101229,James Bryce,,
101230,Sir Walter Besant,,
101231,John Burroughs,,
101232,Matthew Arnold,,
101233,Antonín Leopold Dvorák,,
101234,Charles-François Gounod,500487304,
101235,Ignacy Jan Paderewski,,
101237,Robert Schumann,,
101238,"Wihelm II, Emperor of Germany",,
101240,Hermann von Helmholtz,,
101241,Edwin Booth,,
101242,Edvard Grieg,,
101243,Phillips Brooks,,
101244,Hans Von Bülow,,
101245,"Eugénie, Empress of the French",,
101247,Grover Cleveland,,
101249,"Benoît-Constant Coquelin, known as Coquelin aîné",,
101250,Eleanora Duse,,
101251,Helena Modjeska,,
101252,Peter Cooper,,
101254,Paul-Henri-Benjamin d'Estournelles de Constant,,
101255,Lotte Gützlaff,,
101261,"Sophia Wilhelmina Mariana Henrietta, Queen of Sweden",,
101264,F. Droimer,,
101265,Ch. G. Boeckmann,,
101267,Crown Princess Margaret Victoria Charlotta Augusta Norah of Sweden,,
101268,Gottfried von Neureuther,,
101270,Theodorus Wilkens,500011696,Q7781564
101273,Pierron et Delâtre,,
101274,Matthijs van Plattenberg,500009585,Q18331410
101279,"Boussod, Valadon & Co.",,
